Year,State,Award Amount
2014,MA,69697825
2014,MD,48362263
2014,ME,10408035
2014,MI,67691167
2014,MN,28929712
2014,MO,29676813
2014,MS,5527884
2014,MT,2648499
2014,NC,21174515
2014,ND,2173491
2014,NE,7652645
2014,NH,6622195
2014,NJ,38088939
2014,NM,9324895
2014,NV,14798196
2014,NY,191794858
2014,OH,88155421
2014,OK,7830616
2014,OR,26694306
2014,PA,92425789
2014,PR,19301084
2014,RI,5262197
2014,SC,9787199
2014,SD,1225381
2014,TN,21574617
2014,TX,77942382
2014,UT,8468719
2014,VA,26943739
2014,VI,133218
2014,VT,3731788
2014,WA,48190412
2014,WI,22621452
2014,WV,7232708
2014,WY,327002
2013,AK,3595949
2013,AL,17007494
2013,AR,4739132
2013,AZ,39803090
2013,CA,275521758
2013,CO,21662747
2013,CT,35041141
2013,DC,20772313
2013,DE,6053588
2013,FL,84569625
2013,GA,36206719
2013,GU,1227443
2013,HI,11428302
2013,IA,8389545
2013,ID,4102735
2013,IL,96947114
2013,IN,15051885
2013,KS,9274899
2013,KY,18602499
2013,LA,30763503
2013,MA,69217906
2013,MD,48413020
2013,ME,10944067
2013,MI,65168481
2013,MN,26038025
2013,MO,29134013
2013,MS,5752813
2013,MT,2728741
2013,NC,19943417
2013,ND,2037177
2013,NE,7517218
2013,NH,6340061
2013,NJ,30936944
2013,NM,8762360
2013,NV,11937338
2013,NY,194974416
2013,OH,83690396
2013,OK,7474461
2013,OR,24124710
2013,PA,89022341
2013,PR,19470078
2013,RI,5011382
2013,SC,9764991
2013,SD,1283863
2013,TN,20259797
2013,TX,76923650
2013,UT,7971611
2013,VA,25608287
2013,VI,304072
2013,VT,3601112
2013,WA,42851467
2013,WI,22037866
2013,WV,6901657
2013,WY,333139
2012,AK,3857795
2012,AL,17145214
2012,AR,4738880
2012,AZ,37535269
2012,CA,258979468
2012,CO,21126224
2012,CT,34098529
2012,DC,20404829
2012,DE,6437700
2012,FL,82103369
2012,GA,33284092
2012,GU,1341264
2012,HI,21190557
2012,IA,8472185
2012,ID,4069778
2012,IL,89373326
2012,IN,17473549
2012,KS,8497139
2012,KY,18912851
2012,LA,30098501
2012,MA,68902972
2012,MD,49140862
2012,ME,10967433
2012,MI,62512211
2012,MN,25479439
2012,MO,28686184
2012,MS,6112768
2012,MT,2648326
2012,NC,19460532
2012,ND,2061023
2012,NE,7505997
2012,NH,6201092
2012,NJ,27757829
2012,NM,8933086
2012,NV,8973924
2012,NY,191313041
2012,OH,81749272
2012,OK,6779771
2012,OR,23570253
2012,PA,86071225
2012,PR,17183176
2012,RI,5032499
2012,SC,8958105
2012,SD,1420496
2012,TN,20715133
2012,TX,76088803
2012,UT,8227661
2012,VA,25471527
2012,VI,603382
2012,VT,3531472
2012,WA,42662585
2012,WI,22097999
2012,WV,5708221
2012,WY,340815
2011,AK,3578266
2011,AL,18399850
2011,AR,6325856
2011,AZ,35323127
2011,CA,274202077
2011,CO,20181667
2011,CT,32289468
2011,DC,20539506
2011,DE,5468405
2011,FL,78767112
2011,GA,33464327
2011,GU,1125484
2011,HI,11593803
2011,IA,8448567
2011,ID,3762755
2011,IL,90587896
2011,IN,19990836
2011,KS,8292877
2011,KY,18391306
2011,LA,28087752
2011,MA,64704393
2011,MD,47619341
2011,ME,10551606
2011,MI,63868305
2011,MN,24012605
2011,MO,27371596
2011,MS,5660323
2011,MT,2744642
2011,NC,22604818
2011,ND,1979410
2011,NE,5873423
2011,NH,6055770
2011,NJ,38559292
2011,NM,8715950
2011,NV,9028649
2011,NY,188594662
2011,OH,79630712
2011,OK,7002265
2011,OR,20285623
2011,PA,85430525
2011,PR,18555334
2011,RI,5964096
2011,SC,9389868
