"Total Beds ES, TH, PSH",State,Year
13382,AZ,2010
89847,CA,2010
9029,CO,2010
8182,CT,2010
1588,DE,2010
33448,FL,2010
14356,GA,2010
4863,IA,2010
2311,ID,2010
24202,IL,2010
10165,IN,2010
3791,KS,2010
8173,KY,2010
7964,LA,2010
24366,MA,2010
10962,MD,2010
4594,ME,2010
23766,MI,2010
15161,MN,2010
11327,MO,2010
1681,MS,2010
1399,MT,2010
13296,NC,2010
1330,ND,2010
4135,NE,2010
2235,NH,2010
9616,NJ,2010
3963,NM,2010
5776,NV,2010
99215,NY,2010
22699,OH,2010
4191,OK,2010
12433,OR,2010
23872,PA,2010
2519,RI,2010
4796,SC,2010
1636,SD,2010
9021,TN,2010
28761,TX,2010
4368,UT,2010
9892,VA,2010
1101,VT,2010
25614,WA,2010
7983,WI,2010
2493,WV,2010
1027,WY,2010
6165,AL,2009
3366,AR,2009
12952,AZ,2009
88481,CA,2009
8688,CO,2009
8112,CT,2009
1478,DE,2009
31682,FL,2009
14674,GA,2009
5079,IA,2009
2326,ID,2009
23232,IL,2009
9452,IN,2009
2074,KS,2009
7861,KY,2009
7596,LA,2009
23339,MA,2009
10697,MD,2009
4570,ME,2009
21598,MI,2009
14235,MN,2009
10560,MO,2009
1758,MS,2009
1438,MT,2009
12607,NC,2009
1266,ND,2009
3764,NE,2009
2222,NH,2009
9365,NJ,2009
3891,NM,2009
10166,NV,2009
94325,NY,2009
21527,OH,2009
4095,OK,2009
14504,OR,2009
23590,PA,2009
2720,RI,2009
5449,SC,2009
1636,SD,2009
8156,TN,2009
28505,TX,2009
4644,UT,2009
9839,VA,2009
1229,VT,2009
24474,WA,2009
8012,WI,2009
2299,WV,2009
835,WY,2009
6718,AL,2008
3359,AR,2008
13281,AZ,2008
78917,CA,2008
8824,CO,2008
7563,CT,2008
1499,DE,2008
30823,FL,2008
13921,GA,2008
5102,IA,2008
2188,ID,2008
23511,IL,2008
10792,IN,2008
3172,KS,2008
7940,KY,2008
7112,LA,2008
22302,MA,2008
10108,MD,2008
4718,ME,2008
18518,MI,2008
13125,MN,2008
9929,MO,2008
2044,MS,2008
1407,MT,2008
11998,NC,2008
1199,ND,2008
3463,NE,2008
2345,NH,2008
9251,NJ,2008
3685,NM,2008
7137,NV,2008
88855,NY,2008
20110,OH,2008
3952,OK,2008
14156,OR,2008
25340,PA,2008
2432,RI,2008
4946,SC,2008
1636,SD,2008
8869,TN,2008
26323,TX,2008
4882,UT,2008
9493,VA,2008
1489,VT,2008
23078,WA,2008
8191,WI,2008
2574,WV,2008
777,WY,2008
6793,AL,2007
4130,AR,2007
12352,AZ,2007
77865,CA,2007
8524,CO,2007
7406,CT,2007
1519,DE,2007
29428,FL,2007
12161,GA,2007
4381,IA,2007
1915,ID,2007
22678,IL,2007
10036,IN,2007
3418,KS,2007
8180,KY,2007
6780,LA,2007
22548,MA,2007
10339,MD,2007
4312,ME,2007
16674,MI,2007
12584,MN,2007
10847,MO,2007
1877,MS,2007
1527,MT,2007
10850,NC,2007
1343,ND,2007
3909,NE,2007
2334,NH,2007
9635,NJ,2007
3154,NM,2007
7076,NV,2007
89802,NY,2007
22674,OH,2007
4043,OK,2007
19921,OR,2007
25725,PA,2007
2399,RI,2007
4742,SC,2007
1714,SD,2007
8908,TN,2007
25682,TX,2007
4579,UT,2007
9616,VA,2007
1364,VT,2007
23197,WA,2007
7980,WI,2007
2385,WV,2007
796,WY,2007
