State,Overall Homeless,Year,"Total Beds ES, TH, PSH"
RI,1070,2011,3013
SC,5093,2011,5257
SD,826,2011,1600
TN,9113,2011,10443
TX,36911,2011,33192
UT,3130,2011,4498
VA,8816,2011,10392
VT,1144,2011,1292
WA,20439,2011,25213
WI,5785,2011,9144
WV,2211,2011,2682
WY,1038,2011,880
AL,6046,2010,6376
AR,2762,2010,3598
AZ,13711,2010,13382
CA,123480,2010,89847
CO,15482,2010,9029
CT,4316,2010,8182
DE,982,2010,1588
FL,57551,2010,33448
GA,19836,2010,14356
IA,3014,2010,4863
ID,2346,2010,2311
IL,14395,2010,24202
IN,6452,2010,10165
KS,2024,2010,3791
KY,6623,2010,8173
LA,12482,2010,7964
MA,16646,2010,24366
MD,10845,2010,10962
ME,2379,2010,4594
MI,13058,2010,23766
MN,7869,2010,15161
MO,8122,2010,11327
MS,2743,2010,1681
MT,1615,2010,1399
NC,12191,2010,13296
ND,799,2010,1330
NE,3877,2010,4135
NH,1574,2010,2235
NJ,13737,2010,9616
NM,3475,2010,3963
NV,11205,2010,5776
NY,65606,2010,99215
OH,12569,2010,22699
OK,5229,2010,4191
OR,19492,2010,12433
PA,14516,2010,23872
RI,1282,2010,2519
SC,4473,2010,4796
SD,731,2010,1636
TN,10276,2010,9021
TX,35121,2010,28761
UT,3284,2010,4368
VA,9080,2010,9892
VT,1220,2010,1101
WA,22878,2010,25614
WI,6333,2010,7983
WV,2264,2010,2493
WY,579,2010,1027
AL,6080,2009,6165
AR,2852,2009,3366
AZ,14721,2009,12952
CA,123678,2009,88481
CO,15268,2009,8688
CT,4605,2009,8112
DE,1130,2009,1478
FL,55599,2009,31682
GA,20360,2009,14674
IA,3380,2009,5079
ID,1939,2009,2326
IL,14055,2009,23232
IN,6984,2009,9452
KS,1892,2009,2074
KY,5999,2009,7861
LA,12504,2009,7596
MA,15482,2009,23339
MD,11698,2009,10697
ME,2444,2009,4570
MI,14005,2009,21598
MN,7718,2009,14235
MO,6959,2009,10560
MS,2797,2009,1758
MT,1196,2009,1438
NC,12918,2009,12607
ND,773,2009,1266
NE,3718,2009,3764
NH,1645,2009,2222
NJ,13169,2009,9365
NM,3475,2009,3891
NV,11089,2009,10166
NY,61067,2009,94325
OH,12700,2009,21527
OK,4838,2009,4095
OR,17309,2009,14504
PA,15096,2009,23590
RI,1607,2009,2720
SC,4473,2009,5449
SD,731,2009,1636
TN,10532,2009,8156
TX,36761,2009,28505
UT,3795,2009,4644
VA,8852,2009,9839
VT,1214,2009,1229
WA,22782,2009,24474
WI,6525,2009,8012
WV,1667,2009,2299
WY,515,2009,835
AL,5387,2008,6718
AR,3255,2008,3359
AZ,12488,2008,13281
CA,136531,2008,78917
CO,14747,2008,8824
CT,4627,2008,7563
DE,933,2008,1499
FL,50158,2008,30823
GA,19095,2008,13921
IA,3346,2008,5102
