State,Overall Homeless,Year
DE,1061,2007
FL,48069,2007
GA,19639,2007
IA,2734,2007
ID,1749,2007
IL,15487,2007
IN,7358,2007
KS,2111,2007
KY,8061,2007
LA,5494,2007
MA,15127,2007
MD,9628,2007
ME,2638,2007
MI,28295,2007
MN,7323,2007
MO,6247,2007
MS,1377,2007
MT,1150,2007
NC,11802,2007
ND,636,2007
NE,3531,2007
NH,2248,2007
NJ,17314,2007
NM,3015,2007
NV,8642,2007
NY,62601,2007
OH,11264,2007
OK,4221,2007
OR,17590,2007
PA,16220,2007
RI,1372,2007
SC,5660,2007
SD,579,2007
TN,11210,2007
TX,39788,2007
UT,3011,2007
VA,9746,2007
VT,1035,2007
WA,23379,2007
WI,5648,2007
WV,2409,2007
WY,537,2007
